City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Leningradskiy,RU,69.3833,178.4167,-8.27,89,100,13.67,light snow
80,Polson,US,47.6936,-114.1632,24.01,68,76,4.0,broken clouds
81,Korla,CN,41.7597,86.1469,26.78,80,100,6.22,overcast clouds
82,Praya,CV,14.9215,-23.5087,84.2,39,0,18.41,clear sky
83,Victor Harbor,AU,-35.5667,138.6167,70.0,88,0,5.95,clear sky
84,Ancud,CL,-41.8697,-73.8203,66.2,72,0,5.75,clear sky
85,Ponta Do Sol,PT,32.6667,-17.1,64.99,73,5,5.99,clear sky
86,Kenora,CA,49.8167,-94.4337,-7.01,84,90,9.22,light snow
87,Saint-Pierre,RE,-21.3393,55.4781,84.2,70,75,5.75,broken clouds
88,Jabinyanah,TN,35.035,10.9081,66.2,37,40,16.11,scattered clouds
89,Blackwater,AU,-23.5833,148.8833,71.56,76,48,10.09,scattered clouds
90,Talcahuano,CL,-36.7167,-73.1167,71.6,64,0,9.22,clear sky
91,New Norfolk,AU,-42.7826,147.0587,59.0,55,100,5.75,overcast clouds
92,Killybegs,IE,54.6333,-8.45,39.2,93,75,9.22,broken clouds
93,Fort Nelson,CA,58.8053,-122.7002,3.2,92,20,2.3,few clouds
94,Stoughton,US,42.1251,-71.1023,39.0,80,40,7.07,scattered clouds
95,Bethel,US,41.3712,-73.414,39.0,64,0,1.99,clear sky
96,Savonlinna,FI,61.8699,28.88,17.6,93,90,11.5,light snow
97,Barrow,US,71.2906,-156.7887,3.2,85,90,28.77,snow
98,Thompson,CA,55.7435,-97.8558,-7.6,77,90,5.75,light snow
99,Pallisa,UG,1.145,33.7094,83.43,36,100,2.35,overcast clouds
100,Jacareacanga,BR,-6.2222,-57.7528,82.4,78,75,4.61,moderate rain
101,Port Alfred,ZA,-33.5906,26.891,75.0,89,6,5.01,clear sky
102,Mount Gambier,AU,-37.8333,140.7667,55.4,88,9,4.61,clear sky
103,Hermanus,ZA,-34.4187,19.2345,79.0,70,32,5.01,scattered clouds
104,Heiligenhafen,DE,54.3667,10.9833,42.01,70,40,16.11,scattered clouds
105,Dingle,PH,10.9995,122.6711,76.51,84,47,2.21,scattered clouds
106,Chokurdakh,RU,70.6333,147.9167,-45.56,78,40,0.67,scattered clouds
107,Codrington,AU,-38.2667,141.9667,55.81,89,67,1.54,broken clouds
108,Bonthe,SL,7.5264,-12.505,87.12,55,100,7.72,overcast clouds
109,Port Elizabeth,ZA,-33.918,25.5701,80.6,78,75,19.57,broken clouds
110,Tasiilaq,GL,65.6145,-37.6368,14.0,52,1,2.3,clear sky
111,Nanortalik,GL,60.1432,-45.2371,25.97,89,0,5.17,clear sky
112,Bengkulu,ID,-3.8004,102.2655,77.79,83,1,5.99,light rain
113,Chuy,UY,-33.6971,-53.4616,78.75,62,63,13.27,broken clouds
114,Ayan,RU,56.45,138.1667,-20.7,73,91,11.63,overcast clouds
115,Wewak,PG,-3.5534,143.6268,80.78,76,93,8.12,overcast clouds
116,Richards Bay,ZA,-28.783,32.0377,83.75,61,2,16.31,clear sky
117,Katsuura,JP,35.1333,140.3,52.0,66,75,8.05,broken clouds
118,Luanda,AO,-8.8368,13.2343,87.8,55,20,12.66,few clouds
119,Saldanha,ZA,-33.0117,17.9442,86.0,45,39,17.27,scattered clouds
120,Carnarvon,AU,-24.8667,113.6333,77.0,83,75,20.71,broken clouds
121,Dikson,RU,73.5069,80.5464,-24.95,88,86,5.37,overcast clouds
