City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Souillac,MU,2021-01-19 17:46:44,-20.5167,57.5167,80.6,89,40,1.14
68,Tasiilaq,GL,2021-01-19 17:46:44,65.6145,-37.6368,15.8,73,20,10.36
69,Porto Novo,BJ,2021-01-19 17:46:44,6.4965,2.6036,84.2,84,20,12.66
70,Hatillo,PR,2021-01-19 17:46:44,18.4863,-66.8254,84.99,69,40,18.41
71,Puerto Ayora,EC,2021-01-19 17:46:44,-0.7393,-90.3518,80.6,78,20,13.8
72,Martinsville,US,2021-01-19 17:43:50,36.6915,-79.8725,55.0,40,90,11.5
73,Mahebourg,MU,2021-01-19 17:46:45,-20.4081,57.7,80.6,89,40,1.14
74,Punta Arenas,CL,2021-01-19 17:42:45,-53.15,-70.9167,62.6,42,20,16.11
75,Kloulklubed,PW,2021-01-19 17:46:45,7.0419,134.2556,81.64,81,100,15.39
76,Dikson,RU,2021-01-19 17:46:45,73.5069,80.5464,-21.14,88,69,10.94
77,Sal Rei,CV,2021-01-19 17:46:45,16.1833,-22.9167,75.2,50,100,18.41
78,Katherine,AU,2021-01-19 17:43:00,-14.4667,132.2667,77.0,94,75,6.91
79,Shamary,RU,2021-01-19 17:46:45,57.3434,58.2199,13.75,95,100,10.45
80,Cidreira,BR,2021-01-19 17:46:45,-30.1811,-50.2056,76.14,57,0,11.83
81,Chuy,UY,2021-01-19 17:46:45,-33.6971,-53.4616,81.61,40,0,7.25
82,Kabo,CF,2021-01-19 17:46:45,7.6994,18.629,82.15,15,50,4.61
83,Port Elizabeth,ZA,2021-01-19 17:46:46,-33.918,25.5701,69.8,88,20,23.02
84,Laibin,CN,2021-01-19 17:46:46,23.7,109.2667,55.31,53,0,2.62
85,Teya,RU,2021-01-19 17:46:46,60.3778,92.6267,-18.24,84,99,1.68
86,Progreso,MX,2021-01-19 17:46:46,21.2833,-89.6667,82.99,57,40,14.97
87,Airai,TL,2021-01-19 17:46:46,-8.9266,125.4092,61.16,100,100,2.64
88,Zaigrayevo,RU,2021-01-19 17:46:46,51.8336,108.2703,-4.0,77,75,2.21
89,Tallahassee,US,2021-01-19 17:46:47,30.4383,-84.2807,66.0,27,20,8.05
90,Faanui,PF,2021-01-19 17:46:47,-16.4833,-151.75,81.36,72,0,15.01
91,Georgetown,MY,2021-01-19 17:46:47,5.4112,100.3354,80.6,83,40,3.44
92,Oranjemund,NA,2021-01-19 17:46:47,-28.55,16.4333,66.31,80,0,20.78
93,Gamba,GA,2021-01-19 17:46:47,-2.65,10.0,77.16,82,94,4.14
94,Roald,NO,2021-01-19 17:46:47,62.5833,6.1333,35.6,60,0,14.97
95,Severo-Kurilsk,RU,2021-01-19 17:46:47,50.6789,156.125,14.09,86,88,23.8
96,Yellowknife,CA,2021-01-19 17:46:47,62.456,-114.3525,10.4,85,90,16.11
97,Kitimat,CA,2021-01-19 17:46:48,54.0524,-128.6534,37.99,92,100,6.6
98,Ostrovnoy,RU,2021-01-19 17:46:48,68.0531,39.5131,16.79,96,100,24.38
